#	felt-inflation demo ledger · Lin Xiao, single-person
#	household in Shanghai, 2025-01 .. 2026-06.
#	price is the line total; unit price = price / qty.
date	item	category	qty	price	store
2025-04-17	takeaway-lunch	dining	10	220.00	DeliveryApp
2025-04-19	streaming-vip	entertainment	1	25.00	AppStore
2025-04-21	gym-monthly	health	1	150.00	FitClub
2025-05-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-05-05	milk-1l	grocery	6	72.00	Freshmart
2025-05-07	rice-5kg	grocery	1	42.00	Freshmart
2025-05-09	coffee-beans-250g	grocery	2	96.00	Roastery
2025-05-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-05-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-05-15	metro-pass	transport	1	100.00	MetroCard
2025-05-17	takeaway-lunch	dining	10	220.00	DeliveryApp
2025-05-19	streaming-vip	entertainment	1	25.00	AppStore
2025-05-21	gym-monthly	health	1	150.00	FitClub
2025-05-23	dish-soap	grocery	1	12.50	Freshmart
2025-06-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-06-05	milk-1l	grocery	6	72.00	Freshmart
2025-06-07	rice-5kg	grocery	1	42.00	Freshmart
2025-06-09	coffee-beans-250g	grocery	2	96.00	Roastery
2025-06-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-06-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-06-15	metro-pass	transport	1	100.00	MetroCard
2025-06-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-06-19	streaming-vip	entertainment	1	25.00	AppStore
2025-06-21	gym-monthly	health	1	150.00	FitClub
2025-07-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-07-05	milk-1l	grocery	6	72.00	Freshmart
2025-07-07	rice-5kg	grocery	1	42.00	Freshmart
2025-07-09	coffee-beans-250g	grocery	2	104.00	Roastery
2025-07-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-07-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-07-15	metro-pass	transport	1	100.00	MetroCard
2025-07-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-07-19	streaming-vip	entertainment	1	25.00	AppStore
2025-07-21	gym-monthly	health	1	150.00	FitClub
2025-07-23	dish-soap	grocery	1	12.50	Freshmart
2025-08-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-08-05	milk-1l	grocery	6	72.00	Freshmart
2025-08-07	rice-5kg	grocery	1	42.00	Freshmart
2025-08-09	coffee-beans-250g	grocery	2	104.00	Roastery
2025-08-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-08-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-08-15	metro-pass	transport	1	100.00	MetroCard
2025-08-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-08-19	streaming-vip	entertainment	1	25.00	AppStore
2025-08-21	gym-monthly	health	1	150.00	FitClub
2025-09-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-09-05	milk-1l	grocery	6	72.00	Freshmart
2025-09-07	rice-5kg	grocery	1	42.00	Freshmart
2025-09-09	coffee-beans-250g	grocery	2	104.00	Roastery
2025-09-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-09-13	shampoo-a-400ml	grocery	1	39.00	Freshmart
2025-09-15	metro-pass	transport	1	100.00	MetroCard
2025-09-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-09-19	streaming-vip	entertainment	1	25.00	AppStore
2025-09-21	gym-monthly	health	1	150.00	FitClub
2025-09-23	dish-soap	grocery	1	12.50	Freshmart
2025-09-25	oat-milk-1l	grocery	2	39.00	Freshmart
2025-10-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-10-05	milk-1l	grocery	6	76.80	Freshmart
2025-10-07	rice-5kg	grocery	1	42.00	Freshmart
2025-10-09	coffee-beans-250g	grocery	2	104.00	Roastery
2025-10-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-10-13	shampoo-a-400ml	grocery	1	45.00	Freshmart
2025-10-15	metro-pass	transport	1	100.00	MetroCard
2025-10-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-10-19	streaming-vip	entertainment	1	25.00	AppStore
2025-10-21	gym-monthly	health	1	150.00	FitClub
2025-10-25	oat-milk-1l	grocery	2	39.00	Freshmart
2025-11-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-11-05	milk-1l	grocery	6	76.80	Freshmart
2025-11-07	rice-5kg	grocery	1	42.00	Freshmart
2025-11-09	coffee-beans-250g	grocery	2	104.00	Roastery
2025-11-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-11-13	shampoo-a-400ml	grocery	1	45.00	Freshmart
2025-11-15	metro-pass	transport	1	100.00	MetroCard
2025-11-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-11-19	streaming-vip	entertainment	1	30.00	AppStore
2025-11-21	gym-monthly	health	1	150.00	FitClub
2025-11-23	dish-soap	grocery	1	12.50	Freshmart
2025-11-25	oat-milk-1l	grocery	2	39.00	Freshmart
2025-12-03	eggs-30pc	grocery	2	50.00	Freshmart
2025-12-05	milk-1l	grocery	6	76.80	Freshmart
2025-12-07	rice-5kg	grocery	1	42.00	Freshmart
2025-12-09	coffee-beans-250g	grocery	2	104.00	Roastery
2025-12-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2025-12-13	shampoo-a-400ml	grocery	1	45.00	Freshmart
2025-12-15	metro-pass	transport	1	100.00	MetroCard
2025-12-17	takeaway-lunch	dining	10	240.00	DeliveryApp
2025-12-19	streaming-vip	entertainment	1	30.00	AppStore
2025-12-21	gym-monthly	health	1	150.00	FitClub
2025-12-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-01-03	eggs-30pc	grocery	2	56.00	Freshmart
2026-01-05	milk-1l	grocery	6	76.80	Freshmart
2026-01-07	rice-5kg	grocery	1	42.00	Freshmart
2026-01-09	coffee-beans-250g	grocery	2	104.00	Roastery
2026-01-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2026-01-15	metro-pass	transport	1	100.00	MetroCard
2026-01-17	takeaway-lunch	dining	8	208.00	DeliveryApp
2026-01-19	streaming-vip	entertainment	1	30.00	AppStore
2026-01-21	gym-monthly	health	1	150.00	FitClub
2026-01-23	dish-soap	grocery	1	12.50	Freshmart
2026-01-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-01-27	shampoo-b-500ml	grocery	1	22.90	Freshmart
2026-02-03	eggs-30pc	grocery	2	56.00	Freshmart
2026-02-05	milk-1l	grocery	6	76.80	Freshmart
2026-02-07	rice-5kg	grocery	1	42.00	Freshmart
2026-02-09	coffee-beans-250g	grocery	2	116.00	Roastery
2026-02-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2026-02-15	metro-pass	transport	1	100.00	MetroCard
2026-02-17	takeaway-lunch	dining	8	208.00	DeliveryApp
2026-02-19	streaming-vip	entertainment	1	30.00	AppStore
2026-02-21	gym-monthly	health	1	150.00	FitClub
2026-02-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-02-27	shampoo-b-500ml	grocery	1	22.90	Freshmart
2026-03-03	eggs-30pc	grocery	2	56.00	Freshmart
2026-03-05	milk-1l	grocery	6	76.80	Freshmart
2026-03-07	rice-5kg	grocery	1	42.00	Freshmart
2026-03-09	coffee-beans-250g	grocery	2	116.00	Roastery
2026-03-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2026-03-15	metro-pass	transport	1	100.00	MetroCard
2026-03-17	takeaway-lunch	dining	8	208.00	DeliveryApp
2026-03-19	streaming-vip	entertainment	1	30.00	AppStore
2026-03-21	gym-monthly	health	1	165.00	FitClub
2026-03-23	dish-soap	grocery	1	12.50	Freshmart
2026-03-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-03-27	shampoo-b-500ml	grocery	1	22.90	Freshmart
2026-04-03	eggs-30pc	grocery	2	64.00	Freshmart
2026-04-05	milk-1l	grocery	6	76.80	Freshmart
2026-04-07	rice-5kg	grocery	1	42.00	Freshmart
2026-04-09	coffee-beans-250g	grocery	2	116.00	Roastery
2026-04-11	chicken-breast-500g	grocery	4	54.00	Freshmart
2026-04-15	metro-pass	transport	1	100.00	MetroCard
2026-04-17	takeaway-lunch	dining	8	208.00	DeliveryApp
2026-04-19	streaming-vip	entertainment	1	30.00	AppStore
2026-04-21	gym-monthly	health	1	165.00	FitClub
2026-04-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-04-27	shampoo-b-500ml	grocery	1	22.90	Freshmart
2026-05-03	eggs-30pc	grocery	2	64.00	Freshmart
2026-05-05	milk-1l	grocery	6	76.80	Freshmart
2026-05-07	rice-5kg	grocery	1	42.00	Freshmart
2026-05-09	coffee-beans-250g	grocery	2	116.00	Roastery
2026-05-11	chicken-breast-500g	grocery	4	60.00	Freshmart
2026-05-15	metro-pass	transport	1	100.00	MetroCard
2026-05-17	takeaway-lunch	dining	8	208.00	DeliveryApp
2026-05-19	streaming-vip	entertainment	1	30.00	AppStore
2026-05-21	gym-monthly	health	1	165.00	FitClub
2026-05-23	dish-soap	grocery	1	12.50	Freshmart
2026-05-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-05-27	shampoo-b-500ml	grocery	1	22.90	Freshmart
2026-06-03	eggs-30pc	grocery	2	64.00	Freshmart
2026-06-05	milk-1l	grocery	6	76.80	Freshmart
2026-06-07	rice-5kg	grocery	1	42.00	Freshmart
2026-06-09	coffee-beans-250g	grocery	2	116.00	Roastery
2026-06-11	chicken-breast-500g	grocery	4	60.00	Freshmart
2026-06-15	metro-pass	transport	1	100.00	MetroCard
2026-06-17	takeaway-lunch	dining	8	208.00	DeliveryApp
2026-06-19	streaming-vip	entertainment	1	30.00	AppStore
2026-06-21	gym-monthly	health	1	165.00	FitClub
2026-06-25	oat-milk-1l	grocery	2	39.00	Freshmart
2026-06-27	shampoo-b-500ml	grocery	1	22.90	Freshmart
