card	lapses
w-0261	4
w-0262	1
w-0263	3
w-0264	1
w-0265	1
w-0266	6
w-0267	1
w-0268	5
w-0269	1
w-0270	3
w-0271	1
w-0272	2
w-0273	5
w-0274	4
w-0275	2
w-0276	1
w-0277	4
w-0278	1
w-0279	2
w-0280	5
w-0281	2
w-0282	2
w-0283	1
w-0284	3
w-0285	1
w-0286	2
w-0287	5
w-0288	2
w-0289	4
w-0290	1
w-0291	3
w-0292	1
w-0293	2
w-0294	6
w-0295	4
w-0296	2
w-0297	1
w-0298	4
w-0299	1
w-0300	2
w-0301	5
w-0302	2
w-0303	1
w-0304	1
w-0305	3
w-0306	1
w-0307	3
w-0308	5
w-0309	2
w-0310	3
w-0311	1
w-0312	3
w-0313	1
w-0314	3
w-0315	5
w-0316	3
w-0317	1
w-0318	1
w-0319	4
w-0320	1
w-0321	3
w-0322	5
w-0323	2
w-0324	1
w-0325	1
w-0326	3
w-0327	1
w-0328	3
w-0329	5
w-0330	2
w-0331	3
w-0332	1
w-0333	2
w-0334	1
w-0335	2
w-0336	4
w-0337	2
w-0338	1
w-0339	1
w-0340	3
w-0341	1
w-0342	2
w-0343	4
w-0344	2
w-0345	1
w-0346	1
w-0347	2
w-0348	1
w-0349	2
w-0350	5
w-0351	2
w-0352	2
w-0353	1
w-0354	2
w-0355	1
w-0356	2
w-0357	5
w-0358	2
w-0359	1
w-0360	1
w-0361	2
w-0362	1
w-0363	1
w-0364	4
w-0365	2
w-0366	1
w-0367	2
w-0368	1
w-0369	1
w-0370	1
w-0371	4
w-0372	2
w-0373	1
w-0374	2
w-0375	2
w-0376	1
w-0377	1
w-0378	4
w-0379	3
w-0380	1
w-0381	2
w-0382	3
w-0383	1
w-0384	1
w-0385	3
w-0386	2
w-0387	1
w-0388	2
w-0389	2
w-0390	1
w-0391	2
w-0392	2
w-0393	1
w-0394	3
w-0395	1
w-0396	2
w-0397	2
w-0398	2
w-0399	4
w-0400	2
w-0402	1
w-0403	2
w-0404	2
w-0405	2
w-0406	4
w-0407	2
w-0409	1
w-0410	2
w-0411	2
w-0412	2
w-0413	4
w-0414	2
w-0415	3
w-0416	1
w-0417	2
w-0418	2
w-0419	2
w-0420	4
w-0421	3
w-0422	2
w-0423	2
w-0424	3
w-0425	2
w-0426	2
w-0427	3
w-0429	1
w-0430	2
w-0431	2
w-0432	2
w-0433	2
w-0434	3
w-0436	1
w-0437	2
w-0438	2
w-0439	2
w-0440	2
w-0441	3
w-0442	3
w-0443	2
w-0445	2
w-0446	2
w-0447	2
w-0448	3
w-0450	2
w-0452	2
w-0453	2
w-0454	2
w-0455	3
w-0456	2
w-0457	1
w-0459	3
w-0460	2
w-0461	2
w-0462	3
w-0463	2
w-0464	1
w-0466	4
w-0467	2
w-0468	2
w-0469	3
w-0470	2
w-0471	1
w-0473	2
w-0474	2
w-0475	2
w-0476	3
w-0477	2
w-0478	1
w-0480	2
w-0481	2
w-0482	3
w-0483	2
w-0484	2
w-0485	2
w-0486	4
w-0487	5
w-0488	2
w-0489	3
w-0490	2
w-0491	2
w-0492	2
w-0494	2
w-0495	2
w-0496	2
w-0497	2
w-0498	2
w-0499	2
w-0500	2
w-0501	2
w-0503	2
w-0504	3
w-0505	2
w-0506	2
w-0507	2
w-0508	5
w-0510	2
w-0511	2
w-0512	2
w-0513	2
w-0514	3
w-0515	2
w-0517	3
w-0518	2
w-0519	2
w-0520	2
w-0521	3
w-0522	2
w-0524	2
w-0525	2
w-0526	2
w-0527	2
w-0528	3
w-0529	4
w-0531	2
w-0532	2
w-0533	2
w-0534	2
w-0535	3
w-0536	2
w-0537	2
w-0538	3
w-0539	2
w-0540	2
w-0541	2
w-0542	2
w-0543	1
w-0545	2
w-0546	2
w-0547	2
w-0548	2
w-0549	2
w-0550	3
w-0552	2
w-0553	2
w-0554	2
w-0555	2
w-0556	3
w-0557	1
w-0559	4
w-0560	2
w-0561	2
w-0562	2
w-0563	2
w-0564	3
w-0566	2
w-0567	2
w-0568	2
w-0569	2
w-0570	3
w-0571	2
w-0573	1
w-0574	2
w-0575	2
w-0576	2
w-0577	3
w-0578	2
w-0580	3
w-0581	2
w-0582	2
w-0583	1
w-0584	1
w-0585	1
w-0586	1
w-0587	1
w-0589	1
w-0590	1
w-0591	3
w-0592	3
w-0593	1
w-0594	1
w-0596	1
w-0597	1
w-0598	3
w-0599	1
w-0600	1
w-0601	4
w-0603	1
w-0604	1
w-0605	1
w-0606	1
w-0607	2
w-0608	1
w-0610	1
w-0611	1
w-0612	1
w-0613	2
w-0614	2
w-0615	1
w-0617	1
w-0618	1
w-0619	2
w-0620	1
w-0621	2
w-0622	4
w-0623	1
w-0624	1
w-0626	1
w-0627	1
w-0628	2
w-0629	1
w-0631	1
w-0633	1
w-0634	1
w-0635	2
w-0636	1
w-0637	1
w-0638	1
w-0640	2
w-0641	1
w-0642	2
w-0643	3
w-0644	1
w-0645	1
w-0647	1
w-0648	1
w-0649	2
w-0650	1
w-0651	1
w-0652	1
w-0654	1
w-0655	1
w-0656	2
w-0657	1
w-0658	1
w-0659	1
w-0661	2
w-0663	3
w-0664	3
w-0665	3
w-0666	1
w-0667	2
w-0668	1
w-0670	3
w-0671	1
w-0672	3
w-0673	1
w-0674	2
w-0675	1
w-0677	3
w-0678	1
w-0679	3
w-0680	1
w-0681	2
w-0682	2
w-0684	3
w-0685	3
w-0686	3
w-0687	1
w-0688	2
w-0689	1
w-0691	3
w-0692	3
w-0693	3
w-0694	1
w-0695	3
w-0696	1
w-0698	3
w-0699	3
w-0700	3
w-0701	1
w-0702	3
w-0703	1
w-0705	3
w-0706	3
w-0707	3
w-0708	1
w-0709	3
w-0710	1
w-0712	3
w-0713	1
w-0714	3
w-0715	1
w-0716	3
w-0717	1
w-0719	3
w-0720	1
w-0721	2
w-0722	4
w-0723	2
w-0724	1
w-0725	2
w-0726	1
w-0727	5
w-0728	2
w-0729	2
w-0730	2
w-0731	1
w-0732	2
w-0733	1
w-0734	2
w-0735	2
w-0736	3
w-0737	2
w-0738	1
w-0739	2
w-0740	1
w-0741	2
w-0742	2
w-0743	2
w-0744	2
w-0745	1
w-0746	2
w-0747	1
w-0748	5
w-0749	2
w-0750	2
w-0751	2
w-0752	2
w-0753	2
w-0755	3
w-0756	2
w-0757	3
w-0758	2
w-0759	2
w-0760	2
w-0762	3
w-0763	2
w-0764	2
w-0765	2
w-0766	2
w-0767	2
w-0768	2
w-0769	4
w-0770	1
w-0771	2
w-0772	2
w-0773	2
w-0774	2
w-0775	2
w-0776	3
w-0777	1
w-0778	2
w-0779	2
w-0780	2
w-0781	2
w-0782	2
w-0783	2
w-0784	1
w-0785	2
w-0786	2
w-0787	3
w-0788	2
w-0789	2
w-0790	3
w-0791	1
w-0792	2
w-0793	2
w-0794	2
w-0795	2
w-0796	2
w-0797	3
w-0798	1
w-0799	2
w-0800	2
w-0801	2
w-0802	2
w-0803	2
w-0804	3
w-0805	1
w-0806	2
w-0807	2
w-0808	2
w-0809	2
w-0810	2
w-0811	2
w-0812	2
w-0814	1
w-0815	3
w-0816	2
w-0817	3
w-0818	2
w-0819	2
w-0820	3
w-0821	1
w-0822	3
w-0823	2
w-0824	3
w-0825	2
w-0826	2
w-0828	1
w-0829	3
w-0830	2
w-0831	2
w-0832	2
w-0833	2
w-0835	1
w-0836	3
w-0837	2
w-0838	2
w-0839	2
w-0840	2
w-0841	4
w-0842	1
w-0843	1
w-0844	1
w-0845	3
w-0846	1
w-0847	3
w-0848	1
w-0849	1
w-0850	1
w-0851	1
w-0852	3
w-0853	1
w-0854	3
w-0855	3
w-0856	1
w-0857	1
w-0858	1
w-0859	3
w-0860	1
w-0861	3
w-0862	4
w-0863	1
w-0864	1
w-0865	1
w-0866	2
w-0867	1
w-0868	2
w-0869	1
w-0870	2
w-0871	2
w-0872	1
w-0873	1
w-0874	2
w-0875	2
w-0876	2
w-0877	2
w-0878	1
w-0879	1
w-0880	1
w-0881	1
w-0882	2
w-0883	2
w-0884	2
w-0885	1
w-0886	1
w-0887	1
w-0888	1
w-0889	2
w-0890	2
w-0891	2
w-0892	2
w-0893	2
w-0894	2
w-0895	2
w-0896	1
w-0897	2
w-0898	2
w-0899	1
w-0900	2
w-0901	1
w-0902	1
w-0903	2
w-0904	2
w-0905	2
w-0906	3
w-0907	2
w-0908	1
w-0909	1
w-0910	2
w-0911	2
w-0912	2
w-0913	2
w-0914	2
w-0915	1
w-0916	1
w-0917	2
w-0918	2
w-0919	2
w-0920	2
w-0921	2
w-0922	2
w-0923	1
w-0924	1
w-0925	2
w-0926	2
w-0927	2
w-0928	2
w-0929	2
w-0930	1
w-0931	2
w-0932	3
w-0933	2
w-0934	3
w-0935	2
w-0936	1
w-0938	2
w-0939	3
w-0940	2
w-0941	3
w-0942	2
w-0943	1
w-0945	2
w-0946	3
w-0947	2
w-0948	3
w-0949	2
w-0950	1
w-0952	2
w-0953	3
w-0954	2
w-0955	2
w-0956	2
w-0957	2
w-0959	1
w-0960	3
w-0961	1
w-0962	3
w-0963	2
w-0964	3
w-0965	2
w-0966	1
w-0967	3
w-0968	2
w-0969	3
w-0970	2
w-0971	3
w-0972	2
w-0973	1
w-0974	3
w-0975	1
w-0976	3
w-0977	2
w-0978	3
w-0979	2
w-0980	2
w-0981	3
w-0982	1
w-0983	3
w-0984	2
w-0985	3
w-0986	2
w-0987	1
w-0988	2
w-0989	1
w-0990	3
w-0991	1
w-0992	3
w-0993	1
w-0994	3
w-0995	1
w-0996	1
w-0997	3
w-0998	1
w-0999	3
w-1000	1
w-1001	3
w-1002	1
w-1003	1
w-1004	3
w-1005	1
w-1006	3
w-1007	1
w-1008	2
w-1009	1
w-1010	1
w-1011	3
w-1012	1
w-1013	3
w-1014	1
w-1015	1
w-1016	1
w-1017	1
w-1018	3
w-1019	1
w-1020	3
w-1021	1
w-1022	2
w-1023	1
w-1024	1
w-1025	2
w-1026	1
w-1027	2
w-1028	1
w-1029	2
w-1030	1
w-1031	1
w-1032	2
w-1033	1
w-1034	2
w-1035	1
w-1036	2
w-1037	1
w-1038	1
w-1039	2
w-1040	1
w-1041	2
w-1042	1
w-1043	2
w-1044	1
w-1045	1
w-1046	2
w-1047	1
w-1048	2
w-1049	1
w-1050	2
w-1051	2
w-1052	1
w-1053	1
w-1054	1
w-1055	2
w-1056	1
w-1057	2
w-1058	1
w-1059	1
w-1060	1
w-1061	1
w-1062	2
w-1063	1
w-1064	2
w-1065	1
w-1066	1
w-1067	1
w-1068	1
w-1069	2
w-1070	1
w-1071	2
w-1072	2
w-1073	1
w-1074	1
w-1075	1
w-1076	2
w-1077	1
w-1078	2
w-1079	1
w-1080	1
w-1081	2
w-1082	2
w-1083	1
w-1084	1
w-1085	2
w-1086	1
w-1087	2
w-1088	2
w-1089	2
w-1090	1
w-1091	1
w-1092	2
w-1093	2
w-1094	2
w-1095	2
w-1096	2
w-1097	2
w-1098	1
w-1099	1
w-1100	1
w-1101	2
w-1102	2
w-1103	2
w-1104	2
w-1105	1
w-1106	1
w-1107	1
w-1108	2
w-1109	2
w-1110	2
w-1111	1
w-1112	2
w-1113	2
w-1114	2
w-1115	2
w-1116	2
w-1117	1
w-1118	1
w-1119	1
w-1120	2
w-1121	2
w-1122	2
w-1123	2
w-1124	2
w-1125	1
w-1126	1
w-1127	2
w-1128	2
w-1129	2
w-1130	2
w-1131	2
w-1132	1
w-1133	1
w-1134	2
w-1135	2
w-1136	2
w-1137	2
w-1138	2
w-1139	1
w-1140	1
w-1141	2
w-1142	1
w-1143	1
w-1144	2
w-1145	2
w-1146	2
w-1147	2
w-1148	2
w-1149	1
w-1150	1
w-1151	2
w-1152	2
w-1153	2
w-1154	2
w-1155	2
w-1156	1
w-1157	1
w-1158	2
w-1159	2
w-1160	2
w-1161	2
w-1162	2
w-1163	2
w-1164	1
w-1165	1
w-1166	2
w-1167	2
w-1168	2
w-1169	2
w-1170	2
w-1171	2
w-1172	2
w-1173	1
w-1174	1
w-1175	2
w-1176	2
w-1177	2
w-1178	2
w-1179	2
w-1180	1
w-1181	1
w-1182	2
w-1183	2
w-1184	2
w-1185	2
w-1186	2
w-1187	1
w-1188	1
w-1189	2
w-1190	2
w-1191	2
w-1192	2
w-1193	2
w-1194	1
w-1195	1
w-1196	2
w-1197	2
w-1198	2
w-1199	2
w-1200	2
w-1201	1
w-1202	1
w-1203	2
w-1204	2
w-1205	2
w-1206	2
w-1207	2
w-1208	1
w-1209	1
w-1210	2
w-1211	2
w-1212	2
w-1213	2
w-1214	2
w-1215	2
w-1216	1
w-1218	2
w-1219	2
w-1220	2
w-1221	2
w-1222	2
w-1223	1
w-1225	2
w-1226	2
w-1227	2
w-1228	2
w-1229	2
w-1230	1
w-1232	1
w-1233	2
w-1234	2
w-1235	2
w-1236	2
w-1237	2
w-1239	1
w-1240	2
w-1241	2
w-1242	2
w-1243	2
w-1244	2
w-1246	1
w-1247	2
w-1248	2
w-1249	2
w-1250	2
w-1251	1
w-1253	1
w-1254	2
w-1255	2
w-1256	2
w-1257	2
w-1258	1
w-1260	2
w-1261	1
w-1262	1
w-1263	1
w-1264	1
w-1265	1
w-1267	1
w-1268	1
w-1269	1
w-1270	1
w-1271	1
w-1272	1
w-1274	1
w-1275	1
w-1276	1
w-1277	1
w-1278	1
w-1279	1
w-1281	1
w-1282	1
w-1283	1
w-1284	1
w-1285	1
w-1286	1
w-1288	1
w-1289	1
w-1290	1
w-1291	1
w-1292	1
w-1293	1
w-1295	1
w-1296	1
w-1297	1
w-1298	1
w-1299	1
w-1300	1
w-1302	1
w-1303	1
w-1304	1
w-1305	1
w-1306	1
w-1307	1
w-1309	1
w-1310	1
w-1311	1
w-1312	1
w-1313	1
w-1314	1
w-1316	1
w-1317	1
w-1318	1
w-1319	1
w-1320	1
w-1321	1
w-1323	1
w-1324	1
w-1325	1
w-1326	1
w-1327	1
w-1328	1
w-1330	1
w-1331	1
w-1332	1
w-1333	1
w-1334	1
w-1335	1
w-1337	1
w-1338	1
w-1339	1
w-1340	1
w-1341	1
w-1342	1
w-1344	1
w-1345	1
w-1346	1
w-1347	1
w-1348	1
w-1349	1
w-1351	1
w-1353	1
w-1354	1
w-1355	1
w-1356	1
w-1357	1
w-1358	1
w-1360	1
w-1361	1
w-1362	1
w-1363	1
w-1365	1
w-1367	1
w-1368	1
w-1369	1
w-1370	1
w-1372	1
w-1373	1
w-1374	1
w-1375	1
w-1376	1
w-1377	1
w-1379	1
w-1380	1
w-1381	1
w-1382	1
w-1383	1
w-1384	1
w-1385	1
w-1386	1
w-1388	1
w-1389	1
w-1390	1
w-1391	1
w-1392	1
w-1393	1
w-1395	1
w-1396	1
w-1397	1
w-1398	1
w-1399	1
w-1400	1
w-1402	1
w-1403	1
w-1404	1
w-1405	1
w-1406	1
w-1407	1
w-1409	1
w-1410	1
w-1411	1
w-1412	1
w-1413	1
w-1414	1
w-1416	1
w-1417	1
w-1418	1
w-1419	1
w-1420	1
w-1421	1
w-1423	1
w-1424	1
w-1425	1
w-1426	1
w-1427	1
w-1428	1
w-1430	1
w-1431	1
w-1432	1
w-1433	1
w-1434	1
w-1435	1
w-1437	1
w-1438	1
w-1439	1
w-1440	1
w-1441	1
w-1442	1
w-1444	1
w-1445	1
w-1446	1
w-1447	1
w-1448	1
w-1449	1
w-1451	1
w-1452	1
w-1453	1
w-1454	1
w-1455	1
w-1456	1
w-1458	1
w-1459	1
w-1460	1
w-1461	1
w-1462	1
w-1463	1
w-1465	1
w-1466	1
w-1467	1
w-1468	1
w-1469	1
w-1470	1
w-1472	1
w-1473	1
w-1474	1
w-1475	1
w-1476	1
w-1477	1
w-1479	1
w-1480	1
w-1481	1
w-1482	1
w-1483	1
w-1484	1
w-1486	1
w-1487	1
w-1488	1
w-1489	1
w-1490	1
w-1491	1
w-1493	1
w-1494	1
w-1495	1
w-1496	1
w-1497	1
w-1498	1
w-1500	1
w-1501	1
w-1502	1
w-1503	1
w-1504	1
w-1505	1
w-1507	1
w-1508	1
w-1509	1
w-1510	1
w-1511	1
w-1512	1
w-1514	1
w-1515	1
w-1516	1
w-1517	1
w-1518	1
w-1519	1
w-1521	1
w-1522	1
w-1523	1
w-1524	1
w-1525	1
w-1526	1
w-1528	1
w-1529	1
w-1530	1
w-1531	1
w-1532	1
w-1533	1
w-1535	1
w-1536	1
w-1537	1
w-1538	1
w-1539	1
w-1540	1
w-1542	1
w-1543	1
w-1544	1
w-1545	1
w-1546	1
w-1547	1
w-1549	1
w-1550	1
w-1551	1
w-1552	1
w-1553	1
w-1554	1
w-1556	1
w-1557	1
w-1558	1
w-1559	1
w-1560	1
w-1561	1
w-1563	1
w-1564	1
w-1565	1
w-1566	1
w-1567	1
w-1568	1
w-1570	1
w-1571	1
w-1572	1
w-1573	1
w-1574	1
w-1575	1
w-1577	1
w-1578	1
w-1579	1
w-1580	1
w-1581	1
w-1582	1
w-1584	1
w-1585	1
w-1586	1
w-1587	1
w-1588	1
w-1589	1
w-1591	1
w-1593	1
w-1594	1
w-1595	1
w-1596	1
w-1597	1
w-1598	1
w-1600	1
w-1601	1
w-1602	1
w-1603	1
w-1605	1
w-1607	1
w-1608	1
w-1609	1
w-1610	1
w-1612	1
w-1613	1
w-1614	1
w-1615	1
w-1616	1
w-1617	1
w-1619	1
w-1620	1
w-1621	1
w-1622	1
w-1623	1
w-1624	1
w-1625	1
w-1626	1
w-1628	1
w-1629	1
w-1630	1
w-1631	1
w-1632	1
w-1633	1
w-1635	1
w-1636	1
w-1637	1
w-1638	1
w-1639	1
w-1640	1
w-1642	1
w-1643	1
w-1644	1
w-1645	1
w-1646	1
w-1647	1
w-1649	1
w-1650	1
w-1651	1
w-1652	1
w-1653	1
w-1654	1
w-1656	1
w-1657	1
w-1658	1
w-1659	1
w-1660	1
w-1661	1
w-1663	1
w-1664	1
w-1665	1
w-1666	1
w-1667	1
w-1668	1
w-1670	1
w-1671	1
w-1672	1
w-1673	1
w-1674	1
w-1675	1
w-1677	1
w-1678	1
w-1679	1
w-1680	1
w-1681	1
w-1682	1
w-1684	1
w-1685	1
w-1686	1
w-1687	1
w-1688	1
w-1689	1
w-1691	1
w-1692	1
w-1693	1
w-1694	1
w-1695	1
w-1696	1
w-1698	1
w-1699	1
w-1700	1
w-1701	1
w-1702	1
w-1703	1
w-1705	1
w-1706	1
w-1707	1
w-1708	1
w-1709	1
w-1710	1
w-1712	1
w-1713	1
w-1714	1
w-1715	1
w-1716	1
w-1717	1
w-1719	1
w-1720	1
w-1721	1
w-1722	1
w-1723	1
w-1724	1
w-1726	1
w-1727	1
w-1728	1
w-1729	1
w-1730	1
w-1731	1
w-1733	1
w-1734	1
w-1735	1
w-1736	1
w-1737	1
w-1738	1
w-1740	1
w-1741	1
w-1742	1
w-1743	1
w-1744	1
w-1745	1
w-1747	1
w-1748	1
w-1749	1
w-1750	1
w-1751	1
w-1752	1
w-1754	1
w-1755	1
w-1756	1
w-1757	1
w-1758	1
w-1759	1
w-1761	1
w-1762	1
w-1763	1
w-1764	1
w-1765	1
w-1766	1
w-1768	1
w-1769	1
w-1770	1
w-1771	1
w-1772	1
w-1773	1
w-1775	1
w-1776	1
w-1777	1
w-1778	1
w-1779	1
w-1780	1
w-1782	1
w-1783	1
w-1784	1
w-1785	1
w-1786	1
w-1787	1
w-1789	1
w-1790	1
w-1791	1
w-1792	1
w-1793	1
w-1794	1
w-1796	1
w-1797	1
w-1798	1
w-1799	1
w-1800	1
w-1801	1
w-1803	1
w-1804	1
w-1805	1
w-1806	1
w-1807	1
w-1808	1
w-1810	1
w-1811	1
w-1812	1
w-1813	1
w-1814	1
w-1815	1
w-1817	1
w-1818	1
w-1819	1
w-1820	1
w-1821	1
w-1822	1
w-1824	1
w-1825	1
w-1826	1
w-1827	1
w-1828	1
w-1829	1
w-1831	1
w-1832	1
w-1833	1
w-1834	1
w-1835	1
w-1836	1
w-1838	1
w-1839	1
w-1840	1
w-1841	1
w-1842	1
w-1843	1
w-1845	1
w-1846	1
w-1847	1
w-1848	1
w-1849	1
w-1850	1
w-1852	1
w-1853	1
w-1854	1
w-1855	1
w-1856	1
w-1857	1
w-1859	1
w-1860	1
w-1861	1
w-1862	1
w-1863	1
w-1864	1
w-1866	1
w-1867	1
w-1868	1
w-1869	1
w-1870	1
w-1871	1
w-1873	1
w-1874	1
w-1875	1
w-1876	1
w-1877	1
w-1878	1
w-1880	1
w-1882	1
w-1883	1
w-1884	1
w-1885	1
w-1887	1
w-1889	1
w-1890	1
w-1891	1
w-1892	1
w-1894	1
w-1895	1
w-1896	1
w-1897	1
w-1898	1
w-1899	1
w-1901	1
w-1902	1
w-1903	1
w-1904	1
w-1905	1
w-1906	1
w-1908	1
w-1909	1
w-1910	1
w-1911	1
w-1912	1
w-1913	1
w-1915	1
w-1916	1
w-1917	1
w-1918	1
w-1919	1
w-1920	1
w-1921	1
w-1922	1
w-1924	1
w-1925	1
w-1926	1
w-1927	1
w-1928	1
w-1929	1
w-1931	1
w-1932	1
w-1933	1
w-1934	1
w-1935	1
w-1936	1
w-1938	1
w-1939	1
w-1940	1
w-1941	1
w-1943	1
w-1945	1
w-1946	1
w-1947	1
w-1948	1
w-1950	1
w-1952	1
w-1953	1
w-1954	1
w-1955	1
w-1956	1
w-1957	1
w-1959	1
w-1960	1
w-1961	1
w-1962	1
w-1963	1
w-1964	1
w-1966	1
w-1967	1
w-1968	1
w-1969	1
w-1970	1
w-1971	1
w-1973	1
w-1974	1
w-1975	1
w-1976	1
w-1977	1
w-1978	1
w-1980	1
w-1981	1
w-1982	1
w-1983	1
w-1984	1
w-1985	1
w-1987	1
w-1988	1
w-1989	1
w-1990	1
w-1991	1
w-1992	1
w-1994	1
w-1995	1
w-1996	1
w-1997	1
w-1998	1
w-1999	1
w-2001	1
w-2002	1
w-2003	1
w-2004	1
w-2005	1
w-2006	1
w-2008	1
w-2009	1
w-2010	1
w-2011	1
w-2012	1
w-2013	1
w-2015	1
w-2016	1
w-2017	1
w-2018	1
w-2019	1
w-2020	1
w-2022	1
w-2023	1
w-2024	1
w-2025	1
w-2026	1
w-2027	1
w-2029	1
w-2030	1
w-2031	1
w-2032	1
w-2033	1
w-2034	1
w-2036	1
w-2037	1
w-2038	1
w-2039	1
w-2040	1
w-2041	1
w-2043	1
w-2044	1
w-2045	1
w-2046	1
w-2047	1
w-2048	1
w-2050	1
w-2051	1
w-2052	1
w-2053	1
w-2054	1
w-2055	1
w-2057	1
w-2058	1
w-2059	1
w-2060	1
w-2061	1
w-2062	1
w-2064	1
w-2065	1
w-2066	1
w-2067	1
w-2068	1
w-2069	1
w-2071	1
w-2072	1
w-2073	1
w-2074	1
w-2075	1
w-2076	1
w-2078	1
w-2079	1
w-2080	1
w-2081	1
w-2082	1
w-2083	1
w-2085	1
w-2086	1
w-2087	1
w-2088	1
w-2089	1
w-2090	1
w-2092	1
w-2093	1
w-2094	1
w-2095	1
w-2096	1
w-2097	1
w-2099	1
w-2100	1
w-2101	1
w-2102	1
w-2103	1
w-2104	1
w-2106	1
w-2107	1
w-2108	1
w-2109	1
w-2110	1
w-2111	1
w-2113	1
w-2114	1
w-2115	1
w-2116	1
w-2117	1
w-2118	1
w-2120	1
w-2121	1
w-2122	1
w-2123	1
w-2124	1
w-2125	1
w-2127	1
w-2128	1
w-2129	1
w-2130	1
w-2131	1
w-2132	1
w-2134	1
w-2135	1
w-2136	1
w-2137	1
w-2138	1
w-2139	1
w-2141	1
w-2142	1
w-2143	1
w-2144	1
w-2145	1
w-2146	1
w-2148	1
w-2149	1
w-2150	1
w-2151	1
w-2152	1
w-2153	1
w-2155	1
w-2156	1
w-2157	1
w-2158	1
w-2159	1
w-2160	1
w-2162	1
w-2163	1
w-2164	1
w-2165	1
w-2166	1
w-2167	1
w-2169	1
w-2170	1
w-2171	1
w-2172	1
w-2173	1
w-2174	1
w-2176	1
w-2177	1
w-2178	1
w-2179	1
w-2180	1
w-2181	1
w-2183	1
w-2184	1
w-2185	1
w-2186	1
w-2187	1
w-2188	1
w-2190	1
w-2191	1
w-2192	1
w-2193	1
w-2194	1
w-2195	1
w-2197	1
w-2198	1
w-2199	1
w-2200	1
w-2201	1
w-2202	1
w-2204	1
w-2206	1
w-2207	1
w-2208	1
w-2209	1
w-2210	1
w-2211	1
w-2213	1
w-2214	1
w-2215	1
w-2216	1
w-2217	1
w-2218	1
w-2220	1
w-2221	1
w-2222	1
w-2223	1
w-2224	1
w-2225	1
w-2227	1
w-2228	1
w-2229	1
w-2230	1
w-2231	1
