date	tmin	tmax	cond	outfit	feel
2025-12-16	-1	5	sunny	大衣+毛衣	0
2025-12-17	0	5	rain	厚羽绒+毛衣	0
2025-12-18	0	6	cloudy	大衣+毛衣	0
2025-12-19	1	6	sunny	大衣+毛衣	0
2025-12-22	1	7	cloudy	厚羽绒+毛衣	0
2025-12-23	2	7	sunny	大衣+毛衣	0
2025-12-24	2	8	rain	厚羽绒+毛衣	0
2025-12-25	2	8	cloudy	厚羽绒+毛衣	0
2025-12-26	3	9	sunny	大衣+毛衣	0
2025-12-29	3	8	cloudy	大衣+毛衣	0
2025-12-30	3	9	sunny	大衣+毛衣	0
2025-12-31	4	9	rain	大衣+毛衣	0
2026-01-05	4	10	sunny	毛衣+风衣	0
2026-01-06	3	9	cloudy	厚羽绒+毛衣	0
2026-01-07	3	10	rain	毛衣+风衣	0
2026-01-08	4	10	sunny	毛衣+风衣	0
2026-01-09	5	11	cloudy	毛衣+风衣	0
2026-01-12	5	10	sunny	毛衣+风衣	0
2026-01-13	6	11	cloudy	毛衣+风衣	0
2026-01-14	6	12	rain	毛衣+风衣	0
2026-01-15	5	11	sunny	毛衣+风衣	0
2026-01-16	6	12	cloudy	毛衣+风衣	0
2026-01-19	7	13	sunny	毛衣+风衣	0
2026-01-20	7	12	cloudy	毛衣+风衣	0
2026-01-21	8	13	rain	毛衣+风衣	0
2026-01-22	8	14	sunny	毛衣+风衣	0
2026-01-23	9	14	cloudy	毛衣+风衣	0
2026-02-02	6	11	sunny	毛衣+风衣	0
2026-02-03	5	10	cloudy	毛衣+风衣	0
2026-02-04	4	9	rain	毛衣+风衣	-1
2026-02-05	4	10	sunny	毛衣+风衣	0
2026-02-09	7	13	sunny	风衣+卫衣	0
2026-02-10	8	14	cloudy	风衣+卫衣	0
2026-02-11	9	15	rain	风衣+卫衣	0
2026-02-12	10	16	sunny	风衣+卫衣	0
2026-02-25	12	20	sunny	风衣+卫衣	0
2026-02-26	13	19	cloudy	风衣+卫衣	0
2026-03-02	4	9	sunny	轻型羽绒+长袖T	-1
2026-03-03	4	8	cloudy	轻型羽绒+长袖T	-1
2026-03-04	4	8	rain	轻型羽绒+长袖T	-1
2026-03-05	2	7	sunny	厚羽绒+毛衣	0
2026-03-09	8	14	sunny	毛衣+风衣	0
2026-03-10	9	15	cloudy	毛衣+风衣	0
2026-03-11	10	16	rain	毛衣+风衣	0
2026-03-16	14	20	sunny	风衣+卫衣	0
2026-03-17	15	21	cloudy	风衣+卫衣	0
2026-03-18	16	22	sunny	风衣+卫衣	+1
2026-03-23	18	24	sunny	卫衣	+2
2026-03-24	19	25	sunny	卫衣	+1
2026-03-25	20	26	cloudy	长袖T	0
2026-03-26	20	27	sunny	长袖T	0
2026-03-30	21	27	sunny	衬衫	0
2026-03-31	22	28	sunny	衬衫	0
2026-04-01	22	28	cloudy	衬衫	+1
2026-04-07	23	29	sunny	短袖T	0
2026-04-08	24	30	sunny	短袖T	0
2026-04-09	23	29	rain	短袖T	0
2026-04-12	22	28	cloudy	衬衫	+1
